country_code,country_name,date,value
AFG,Afghanistan,1960,0.04605671262990401
ALB,Albania,1960,1.25819492789657
ARB,Arab World,1960,0.6457358734851639
ARE,United Arab Emirates,1960,0.119035252872817
ARG,Argentina,1960,2.38334297035428
ATG,Antigua and Barbuda,1960,0.677430677430677
AUS,Australia,1960,8.58293664258675
AUT,Austria,1960,4.37331882803345
BEL,Belgium,1960,9.94159407412846
BEN,Benin,1960,0.06635406325489701
BFA,Burkina Faso,1960,0.009111902210014998
BGR,Bulgaria,1960,2.83390112126359
BHR,Bahrain,1960,3.54447844262346
BHS,"Bahamas, The",1960,3.7495572151112904
BLZ,Belize,1960,0.477971845672576
BMU,Bermuda,1960,3.5513738738738705
BOL,Bolivia,1960,0.27475262889480495
BRA,Brazil,1960,0.649885938095263
BRB,Barbados,1960,0.746164170058014
BRN,Brunei Darussalam,1960,4.08431862133118
CAF,Central African Republic,1960,0.058606829205923
CAN,Canada,1960,10.7708472869716
CEB,Central Europe and the Baltics,1960,5.1042057522311
CHE,Switzerland,1960,3.6643659788502903
CHL,Chile,1960,1.6587863749986202
CHN,China,1960,1.17038137226978
CIV,Cote d'Ivoire,1960,0.13187812486353098
CMR,Cameroon,1960,0.052416901330095994
COD,"Congo, Dem. Rep.",1960,0.152228016183627
COG,"Congo, Rep.",1960,0.219677231493548
COL,Colombia,1960,1.02192720462751
COM,Comoros,1960,0.057560393677304006
CPV,Cabo Verde,1960,0.10904765444948301
CRI,Costa Rica,1960,0.36924004081810496
CSS,Caribbean small states,1960,1.4013366835848
CUB,Cuba,1960,1.9184193243479801
CYM,Cayman Islands,1960,1.3987285441830901
CYP,Cyprus,1960,1.54890475276212
DJI,Djibouti,1960,0.48229231431440994
DMA,Dominica,1960,0.18331639199480101
DNK,Denmark,1960,6.50268309283578
DOM,Dominican Republic,1960,0.316137578986736
DZA,Algeria,1960,0.5571203043481371
EAP,East Asia & Pacific (excluding high income),1960,0.9529738383791551
EAR,Early-demographic dividend,1960,0.594012981950408
EAS,East Asia & Pacific,1960,1.16245968172587
ECU,Ecuador,1960,0.38819468684538
EGY,"Egypt, Arab Rep.",1960,0.602793147451419
ESP,Spain,1960,1.60659271055656
ETH,Ethiopia,1960,0.015892175611719
EUU,European Union,1960,5.76486650093747
FCS,Fragile and conflict affected situations,1960,0.282425584409771
FIN,Finland,1960,3.40984672774319
FJI,Fiji,1960,0.493927279843245
FRA,France,1960,5.81743768117782
FRO,Faroe Islands,1960,1.6949877220858
GAB,Gabon,1960,0.26353487926408603
GBR,United Kingdom,1960,11.1507591603053
GHA,Ghana,1960,0.22050976379115697
GIB,Gibraltar,1960,2.03548249359522
GIN,Guinea,1960,0.117540056814767
GMB,"Gambia, The",1960,0.050226409202103
GNB,Guinea-Bissau,1960,0.029758040432632003
GNQ,Equatorial Guinea,1960,0.086169825286978
